mass eccentricity existence
0.24209033997384632 0.030760612381592035 0.0
0.7459458720869016 0.09597326273448605 0.0
0.7926425360331988 0.07843591785587234 0.0
0.29961450578995685 0.06726469633059753 0.0
0.4616324279952792 0.00985178146453928 0.0
0.311932476046883 0.05138171857522758 0.0
0.7739142410949084 0.03221907860714338 0.0
0.49281367964214257 0.04559637321629581 0.0
0.06774691643288011 0.045356921753589366 0.0
0.3795895333804796 0.0006821309593003103 1.0
0.1941626516575281 0.060977126041051946 0.0
0.4947338106065553 0.016288100326114045 1.0
0.21806313681635148 0.07723292436887298 0.0
0.4482487055184148 0.01144308035056614 0.0
0.8527393676988173 0.0857466960311399 0.0
0.5622253646657046 0.0026725916075004516 1.0
0.0926636912251152 0.08630476723552567 0.0
0.9476611092014916 0.03271342937094175 0.0
0.17563169908502496 0.05888340220652774 0.0
0.5745944820264819 0.09472399977403054 0.0
0.8669003320442937 0.021356254719632328 0.0
0.44244699990998226 0.026613980735452465 0.0
0.14563654872313336 0.02429043425065438 0.0
0.2899346954837768 0.04919467959480051 0.0
0.5804386055618044 0.03670164344013537 0.0
0.07959825722606306 0.09691996387887823 1.0
0.5719901212621528 0.007340449180676319 1.0
0.15017183666270717 0.030233939893759183 0.0
0.14013340575460265 0.042203173810354475 1.0
0.5569497802729582 0.017802852797254017 1.0
0.675889903856493 0.07758728514660106 0.0
0.6259623531325332 0.044223333696091396 0.0
0.3425645285331246 0.06880966840086725 0.0
0.699235336867203 0.05596577034743039 0.0
0.2692274152538304 0.027437335142676406 0.0
0.831444441805039 0.0276885020205219 0.0
0.23216611016665878 0.03534238806351763 0.0
0.7974360161734574 0.026279509793725397 0.0
0.8457900259419368 0.028103517325294463 0.0
0.6495682819932429 0.011909013628474388 0.0
0.24597578395848876 0.07598500807350686 0.0
0.9733954421641783 0.09992968032579791 0.0
0.7376820385257152 0.08283636823816498 0.0
0.6051182385684598 0.007857800289746386 0.0
0.7510951588943208 0.07531161967188371 0.0
0.5838531953243916 0.09710698186158939 0.0
0.9416526439043628 0.03973244674843363 0.0
0.22749076733452256 0.07293708300783551 0.0
0.45282546800173396 0.08040229736882779 0.0
0.18968174374067337 0.037628143313514856 1.0
0.2282977644262385 0.08014202675369106 0.0
0.5400332366559514 0.09978844349771127 0.0
0.3602821979887392 0.05593489897763852 0.0
0.611499261517705 0.09556252926685714 0.0
0.1826922967903286 0.08144719811606015 0.0
0.370626057438201 0.029027233007883534 1.0
0.13899574576978269 0.09983353013781882 0.0
0.3210145645451553 0.08112725623665432 0.0
0.2074581352214123 0.07022246203109625 0.0
0.7705843198125232 0.09036119083904774 0.0
0.6805219028917315 0.05937676970652307 0.0
0.8856969909569206 0.015211063699740117 0.0
0.2371744592602617 0.014072764372778103 0.0
0.8950304683966082 0.0030278214653820246 0.0
0.05552367752938381 0.0743834457380489 0.0
0.49516050399662487 0.04601920195998735 0.0
0.13408022585668078 0.09873867845098445 0.0
0.3421754668260524 0.03638048815194319 0.0
0.891206758229797 0.02196365853414058 0.0
0.1933714107011688 0.09456900533480812 0.0
0.32639693216466603 0.09057323479802287 0.0
0.4975244625148155 0.07679002203633628 0.0
0.11554155205952653 0.06523238763935833 1.0
0.8056192727644222 0.0919331641217308 0.0
0.977969838516103 0.03147601882886505 0.0
0.605915005875807 0.08289736545841493 0.0
0.8725424398587134 0.03220260041755292 0.0
0.00789880141429733 0.051832003807208336 0.0
0.3707612637836716 0.05209517504183474 0.0
0.7138541415404944 0.017023799084697897 0.0
0.038430022488184834 0.091232117204022 0.0
0.05483613935022879 0.04684873124396396 1.0
0.306355336580289 0.04555657013036855 0.0
0.028543519577733597 0.0994012315164641 0.0
0.462340365216807 0.09984687111815083 0.0
0.7709390959789331 0.04098560483645615 0.0
